listing,price,brand,size
Hermes tote bag,2500.0,Hermes,OS
Union Jack clutch makeup bag,12.0,Union Jack,OS
Bally Black Leather Woven Wallet,315.0,Bally,OS
Vera Bradley Quilted Crossbody Purse,15.0,Vera Bradley,W9”xH5”xD3”
Coach Turnlock Leather Hobo Bag Black In Cream,250.0,Coach,OS
"Certificate of Authenticity (24 hour)(COA)
          
      NWT",29.0,,OS
Tan Boho Inspired Velvety Crossbody Bag with Beautiful Lining,22.0,Source Unknown,OS
Vera Bradley STAINED GLASS MEDALLION Large Market Tote Bag Reusable NWOT,22.0,Vera Bradley,19” w x 16” h x 6.5” d approx
612. Stunning Michael Kors Navy Blue Wallet. NWOT.‎,45.0,Michael Kors,OS
Kate Spade Purse,48.0,kate spade,OS
MCM Viesto Berlin 3 Fold Silver Leather Monogram Unisex Wallet,180.0,MCM,OS
Fossil Black Leather Wristlet Wallet,25.0,Fossil,OS
Vintage 70’s SHARIF detailed crossbody purse,40.0,Sharif,OS
"NEW Disney Minnie Mouse Pink Satin Make up Bag
          
      NWT",31.0,Disney,OS
Vera Bradley Large Tote Pop Art Geometric Colorful Pockets Great Condition,25.0,Vera Bradley,OS
Coach Black Patent Leather Wristlet,20.0,Coach,OS
Vintage Tori Totes of Georgia lighthouse handbag with wooden clasp navy red,50.0,Vintage,OS
"NEW • SANDRO Leather shoulder bag
          
      NWT",225.0,Sandro,OS
BRIGHTON Women’s  Checkbook Wallet (7x4 Closed Leather Crocodile Leather,30.0,Brighton,7”x 4”
NWOT Furla Julia Pink Studded Bag,175.0,Furla,9” x 6 1/2” x 3”
MICHAEL KORS Zip Around Long Wallet Signature logo,50.0,Michael Kors,OS
Vera Bradley Pink and Orange Floral Shoulder Bag NWOT,25.0,Vera Bradley,OS
"MICHAEL KORS Large Pebbled Leather Card
Holder Case Electric Pink
          
      NWT",48.0,Michael Kors,"3.75™W X 2.75""H X 0.75""D"
"Coach Legacy Hampton Bag Crossbody
 ***pristine condition***",75.0,Coach,OS
Vera Bradley shoulder bag + wallet,50.0,Vera Bradley,OS
Louis Vuitton Porte Monnaie Monogram Pochette Credit Long Wallet,56.0,Louis Vuitton,OS
Mugler Paris Cosmetic Case,15.0,Mugler,See description
Korto Momolu orange embossed vegan leather purse,44.0,Korto Momolu,OS
Poshmark Discount Code,10.0,discount code,OS
Louis Vuitton St-Jacques Shopping GM,960.0,Louis Vuitton,GM
"Bijoux Terner Orange Handbag Purse with Silver Chain Strap, Pearls, Bow Design",24.0,Bijoux Terner,OS
"Vera Bradley Original Tote w/ Large Envelope Tech Sleeve Ultramarine Blue NWT
          
      NWT",68.0,Vera Bradley,OS
LSU Tigers Clear Crossbody Bag and Coin Purse,26.0,,OS
💎✨HOT BUY✨💎AUTHENTIC Gucci Guccissima Leather Shoulder bag,688.0,Gucci,OS
Victoria's Secret Black Backpack with Fringe,20.0,Victoria's Secret,Tall 14” long 15” deep 61/2”
"Michael Kors MD MF Phone Xbody Bag Vanilla
          
      NWT",124.0,Michael Kors,OS
"7 for all Mankind small shopper bag
          
      NWT",15.0,7 For All Mankind,OS
Black Formal Clutch * Prom * Ballet * Homecoming * Cocktail Party * Formal Event,18.0,,OS
Coach Pebbled Leather Trifold Wallet F53708 in Black GUC,55.0,Coach,OS
"Bebe Fabiola Stamped Creme Crocodile Crossbody Bag. Brand New!!!!
          
      NWT",69.0,bebe,OS
Black Coach Bag,100.0,,OS
Fossil Leather Crossbody‎ Brown Handbag Gold Tone Hardware 10” X 10” Adjustable,36.0,Fossil,10” x 10”
"Latico NJ USA Black Leather Bag, 2 large, multiple small compartments, 16x13x3",80.0,latico,16 x 13 x 3 inches
Ipsy Red Flower Mask Image Makeup Cosmetic Bag,7.0,ipsy,Small
Hawaii‎ Collection Hula Girl Small Zipper Pouch With Key Ring Travel.,12.0,,OS
"NEW Ipsy Bag Yellow Checker Houndstooth Print Cosmetic Make up bag
          
      Boutique",13.0,ipsy,OS
a new day Beige Croc-Embossed‎ Crossbody Bag,12.0,a new day,OS
"Trina Turk cosmetics makeup travel case light blue NWT
          
      NWT",25.0,Trina Turk,OS
Recycled Rubber Crossbody Shoulder Bag Hand Woven From Nepal Sustainable,15.0,other,OS
Be The Leslie Knope of Whatever You Do Make Up Bag,20.0,,OS
Lily Bloom Floral Zip Pockets Backpack,24.0,Lily Bloom,14x 12x 3.5
Vintage Black Crescent Shoulder Bag Purse Women's,15.0,Old Navy,OS
"BEST BRANDS BRAND NEW WITH TAGS SUPER CUTE COSMETIC BAG
          
      NWT",25.0,Best Brands,OS
"New! Boho Embroidered Jacquard Backpack
          
      Boutique",70.0,Hart And Fox Boutique,OS
‘AUTHENTICATED’Louis Vuitton Brown and Tan Monogram Tote,650.0,Louis Vuitton,OS
Mossimo Supply Co Mini Crossbody Bag Brown Vegan Leather Casual Steampunk Retro,17.0,Mossimo Supply Co.,"6""H x 4.5""W x 3""D"
Frye Melissa Trifold Antique Leather Wallet Sandstone Brick Red,90.0,Frye,OS
LOUIS VUITTON new lv bag,427.0,Louis Vuitton,OS
GUCCI Micro GG Supreme Shoulder Bag PVC Brown,708.0,Gucci,W9.4 x H6.7 x D2.0inch(Approx)
Louis Vuitton Porte-Monnaie Tresor Fold Brown Monogram Leather Wallet,315.0,Louis Vuitton,5.5”L x 3.5”H
Blue Samantha Thavasa Limited Princess Jasmine Long Wallet,70.0,Samantha Thavasa,OS
Miu Miu Large Satchel,915.0,Miu Miu,OS
Kate Spade Bunches of Love Tote Bag,155.0,kate spade,OS
Zuri Patchwork Tote Bag – New,45.0,Zuri,OS
Coach | Peyton Carryall Patent Leather Coral color shoulder bag tote Travel,43.0,Coach,OS
Jessica Simpson Crossbody Wallet Brown,18.0,Jessica Simpson,OS
Vintage Beaded Evening Mini Square Crossbody Bag,25.0,Unique Vintage,OS
"Calvin Klein brown cross body bag New
          
      NWT",58.0,Calvin Klein,OS
"NWT Free People Brown Say Yes Bag
          
      NWT",50.0,Free People,OS
Steve Madden Red Cross body bag Valentine's Day ❤️,10.0,Steve Madden,OS
Like New Liz Claiborne Small Animal Crossbody‎ Handbag and Stella & Dot Clutch.,15.0,,OS
Borbonese Redwall Quail Suede Large Handbag,399.0,borbonese,OS
"Vintage 19050s Beaded Straw Clutch, Made in Japan. Small. Gold Hardware",29.0,,OS
"Coach Mini Skinny ID Case Small Wallet 
With Pop Floral Print
          
      NWT",55.0,Coach,"4 1/4"" (L) × 3"" (H) × 1/2"" (W)"
Juicy‎ Couture Wristlet Clutch Black with Hot Pink Interior,50.0,Juicy Couture,OS
"Trina Turk Colorful Swirl Print Wallet - NWT
And Box
          
      NWT",45.0,Trina Turk,OS
"Lululemon 1L Everywhere Belt Bag Plush Fleece Bone/Silver
          
      NWT",55.0,lululemon athletica,OS
"Coach Blue and Tan Designer Shoulder Bag
          
      NWT",130.0,Coach,OS
Vintage Embroidered Cloth Elephant Clutch with Sequins,29.0,Vintage,6” x 5” x 1”
Lancome Black and White Floral Tote,19.0,Lancome,15x13
"Cozumel Sunset Pouch – Yellow & Purple Vibrant Cozumel Mexico Pouch
          
      Boutique",10.0,Passion of Essence,OS
